YEAR,MONTH,DAY_OF_MONTH,FL_DATE,UNIQUE_CARRIER,FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN_AIRPORT_SEQ_ID,ORIGIN_CITY_MARKET_ID,ORIGIN,DEST_AIRPORT_ID,DEST_AIRPORT_SEQ_ID,DEST_CITY_MARKET_ID,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY_NEW,CRS_ARR_TIME,ARR_TIME,ARR_DELAY_NEW,CANCELLED
2017,12,1,12/1/17,UA,1167,12953,1295302,31703,LGA,12266,1226603,31453,IAH,1820,1811,0,2136,2043,0,0
2017,12,1,12/1/17,UA,1187,13930,1393004,30977,ORD,12953,1295302,31703,LGA,600,557,0,910,901,0,0
2017,12,1,12/1/17,UA,1240,13930,1393004,30977,ORD,10792,1079204,30792,BUF,1755,1747,0,2031,2008,0,0
2017,12,1,12/1/17,UA,1254,12266,1226603,31453,IAH,12953,1295302,31703,LGA,1230,1224,0,1659,1705,6,0
2017,12,1,12/1/17,UA,1284,12266,1226603,31453,IAH,12953,1295302,31703,LGA,1805,1801,0,2234,2304,30,0
2017,12,1,12/1/17,UA,1410,12266,1226603,31453,IAH,12953,1295302,31703,LGA,1439,1434,0,1908,1913,5,0
2017,12,1,12/1/17,UA,1457,12953,1295302,31703,LGA,12266,1226603,31453,IAH,1010,959,0,1324,1310,0,0
2017,12,1,12/1/17,UA,1499,13930,1393004,30977,ORD,12953,1295302,31703,LGA,1000,1009,9,1310,1307,0,0
2017,12,1,12/1/17,UA,1501,12266,1226603,31453,IAH,12953,1295302,31703,LGA,1725,1716,0,2154,2208,14,0
2017,12,1,12/1/17,UA,1573,12266,1226603,31453,IAH,12953,1295302,31703,LGA,805,758,0,1235,1228,0,0
2017,12,1,12/1/17,UA,1642,13930,1393004,30977,ORD,12953,1295302,31703,LGA,1500,1458,0,1817,1753,0,0
2017,12,1,12/1/17,UA,1676,12953,1295302,31703,LGA,12266,1226603,31453,IAH,1206,1159,0,1522,1527,5,0
2017,12,1,12/1/17,UA,1678,12953,1295302,31703,LGA,13930,1393004,30977,ORD,2100,2052,0,2238,2229,0,0
2017,12,1,12/1/17,UA,1683,11618,1161802,31703,EWR,10792,1079204,30792,BUF,2145,2232,47,2309,2339,30,0
2017,12,1,12/1/17,UA,1697,12953,1295302,31703,LGA,13930,1393004,30977,ORD,1100,1052,0,1240,1239,0,0
2017,12,1,12/1/17,UA,1709,12953,1295302,31703,LGA,13930,1393004,30977,ORD,1800,1756,0,1950,1926,0,0
2017,12,1,12/1/17,UA,1741,13930,1393004,30977,ORD,12953,1295302,31703,LGA,1200,1151,0,1510,1442,0,0
2017,12,1,12/1/17,UA,1847,12953,1295302,31703,LGA,13930,1393004,30977,ORD,1600,1553,0,1747,1723,0,0
2017,12,1,12/1/17,UA,1858,11292,1129202,30325,DEN,12953,1295302,31703,LGA,1735,1726,0,2318,2239,0,0
2017,12,1,12/1/17,UA,1920,12266,1226603,31453,IAH,12953,1295302,31703,LGA,1015,1011,0,1445,1428,0,0
2017,12,1,12/1/17,UA,1926,12953,1295302,31703,LGA,12266,1226603,31453,IAH,1705,1706,1,2021,1951,0,0
2017,12,1,12/1/17,UA,1953,12953,1295302,31703,LGA,13930,1393004,30977,ORD,1000,950,0,1142,1119,0,0
2017,12,1,12/1/17,UA,2004,13930,1393004,30977,ORD,14576,1457604,34576,ROC,1345,1341,0,1628,1601,0,0
2017,12,1,12/1/17,UA,2010,12953,1295302,31703,LGA,13930,1393004,30977,ORD,1700,1655,0,1848,1816,0,0
2017,12,1,12/1/17,UA,2078,12953,1295302,31703,LGA,12266,1226603,31453,IAH,1359,1347,0,1712,1655,0,0
2017,12,1,12/1/17,UA,2094,12266,1226603,31453,IAH,12953,1295302,31703,LGA,1624,1636,12,2054,2113,19,0
2017,12,1,12/1/17,UA,2098,12953,1295302,31703,LGA,12266,1226603,31453,IAH,755,840,45,1100,1126,26,0
2017,12,1,12/1/17,UA,2401,10792,1079204,30792,BUF,11618,1161802,31703,EWR,600,553,0,725,702,0,0
2017,12,1,12/1/17,UA,2422,13930,1393004,30977,ORD,12953,1295302,31703,LGA,2015,2005,0,2330,2251,0,0
2017,12,1,12/1/17,WN,137,10257,1025702,30257,ALB,10821,1082104,30852,BWI,1020,1018,0,1140,1122,0,0
2017,12,1,12/1/17,WN,566,10257,1025702,30257,ALB,10821,1082104,30852,BWI,1740,1731,0,1900,1837,0,0
2017,12,1,12/1/17,WN,1565,10257,1025702,30257,ALB,10821,1082104,30852,BWI,545,542,0,710,700,0,0
